trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,volume,market_cap,exchange,daily_return,ma_5,ma_20
2022-01-04,ALPH,Alpha Tech,Technology,355.3,358.46,352.83,354.37,133326.0,9422945390,NSE,-0.0026175063326766305,,
2022-01-06,ALPH,Alpha Tech,Technology,356.08,359.53,347.3,348.43,106814.0,28289951505,NSE,-0.02148393619411362,,
2022-01-07,ALPH,Alpha Tech,Technology,346.4,349.48,343.58,347.66,207175.0,31168144145,NSE,0.003637413394919307,,
2022-01-10,ALPH,Alpha Tech,Technology,350.59,350.73,346.84,349.69,145561.0,38198945232,NSE,-0.0025671011723094705,,
2022-01-11,ALPH,Alpha Tech,Technology,348.6,351.34,347.85,349.04,678856.0,46354693038,NSE,0.0012621916236374001,349.838,
2022-01-12,ALPH,Alpha Tech,Technology,347.84,349.04,342.97,346.67,172933.0,48146487193,NSE,-0.003363615455381667,348.29800000000006,
2022-01-13,ALPH,Alpha Tech,Technology,346.65,348.29,339.97,342.42,344098.0,13016486322,NSE,-0.012202509736044892,347.096,
2022-01-14,ALPH,Alpha Tech,Technology,342.83,345.49,334.6,335.0,270555.0,28064751624,NSE,-0.022839308111892147,344.564,
2022-01-17,ALPH,Alpha Tech,Technology,336.47,337.39,335.87,337.16,779514.0,43961377111,NSE,0.002050702885844199,342.058,
2022-01-18,ALPH,Alpha Tech,Technology,334.2,335.12,329.21,331.32,584714.0,23809617911,NSE,-0.00861759425493715,338.514,
2022-01-19,ALPH,Alpha Tech,Technology,332.01,332.66,324.19,324.96,817870.0,18125153549,NSE,-0.02123430017168161,334.17199999999997,
2022-01-20,ALPH,Alpha Tech,Technology,323.6,328.11,321.74,326.05,169403.0,47704472036,NSE,0.007571075401730496,330.898,
2022-01-21,ALPH,Alpha Tech,Technology,324.37,325.03,321.18,323.13,514850.0,37825798834,NSE,-0.003822794956377005,328.524,
2022-01-24,ALPH,Alpha Tech,Technology,322.18,324.39,319.04,321.43,665158.0,33280581497,NSE,-0.0023278912409212243,325.37800000000004,
2022-01-25,ALPH,Alpha Tech,Technology,323.06,328.63,321.05,328.48,245051.0,37253169832,NSE,0.016777069275057312,324.81000000000006,
2022-01-26,ALPH,Alpha Tech,Technology,329.21,329.93,323.55,326.63,757924.0,33692448340,NSE,-0.00783694298472095,325.144,
2022-01-27,ALPH,Alpha Tech,Technology,326.55,338.05,324.91,332.81,590785.0,24452397993,NSE,0.019170111774613353,326.496,
2022-01-31,ALPH,Alpha Tech,Technology,331.35,335.74,330.32,332.78,772097.0,10756009839,NSE,0.0043156782858003616,328.42600000000004,
2022-02-02,ALPH,Alpha Tech,Technology,328.1,330.34,326.16,330.15,211579.0,42104005543,NSE,0.006248095092959325,330.16999999999996,
2022-02-03,ALPH,Alpha Tech,Technology,328.75,329.53,324.51,327.43,665579.0,43321562565,NSE,-0.004015209125475264,329.96,335.78049999999996
2022-02-04,ALPH,Alpha Tech,Technology,328.03,329.08,327.56,329.07,217301.0,30465284657,NSE,0.0031704417278908045,330.448,334.51550000000003
2022-02-07,ALPH,Alpha Tech,Technology,326.24,326.93,322.95,324.56,160738.0,9633226247,NSE,-0.005149583128984817,328.79799999999994,333.322
2022-02-08,ALPH,Alpha Tech,Technology,324.24,329.62,323.89,325.85,658582.0,16879168436,NSE,0.004965457685664982,327.41200000000003,332.2315
2022-02-09,ALPH,Alpha Tech,Technology,326.37,330.2,326.02,326.07,377932.0,33375104806,NSE,-0.0009192021325489824,326.596,331.0505
2022-02-10,ALPH,Alpha Tech,Technology,326.19,336.43,325.59,336.04,823378.0,32108615066,NSE,0.03019712437536412,328.318,330.40049999999997
2022-02-11,ALPH,Alpha Tech,Technology,335.97,338.26,329.79,331.3,642717.0,11234085519,NSE,-0.013900050599755976,328.764,329.632
2022-02-15,ALPH,Alpha Tech,Technology,-330.42,341.16,329.28,339.18,161733.0,10278264788,NSE,-2.0265117123660796,331.688,329.47
2022-02-16,ALPH,Alpha Tech,Technology,339.38,342.48,337.23,337.36,349565.0,49145723707,NSE,-0.005952030172667752,333.99,329.588
2022-02-17,ALPH,Alpha Tech,Technology,335.24,338.97,332.14,337.13,698782.0,37539581251,NSE,0.005637752058226901,336.202,329.5865
2022-02-18,ALPH,Alpha Tech,Technology,335.57,337.19,331.82,334.28,198907.0,48365987627,NSE,-0.0038442053818875956,335.85,329.73449999999997
2022-02-21,ALPH,Alpha Tech,Technology,334.73,343.18,334.36,339.96,864491.0,48182336422,NSE,0.015624533205867298,337.582,330.48449999999997
2022-02-22,ALPH,Alpha Tech,Technology,340.48,346.08,337.84,343.61,863587.0,12995822686,NSE,0.009192904135338333,338.468,331.3625
