trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,volume,market_cap,exchange
2022-01-03,ALPH,Alpha Tech,Technology,356.76,358.06,353.17,,872246.0,48389886375,NSE
2022-01-04,ALPH,Alpha Tech,Technology,355.3,358.46,352.83,354.37,133326.0,9422945390,NSE
2022-01-05,ALPH,Alpha Tech,Technology,353.43,356.52,352.5,355.6,,33110309622,NSE
2022-01-06,ALPH,Alpha Tech,Technology,356.08,359.53,347.3,348.43,106814.0,28289951505,NSE
2022-01-07,ALPH,Alpha Tech,Technology,346.4,349.48,343.58,347.66,207175.0,31168144145,NSE
2022-01-10,ALPH,Alpha Tech,Technology,350.59,350.73,346.84,349.69,145561.0,38198945232,NSE
2022-01-11,ALPH,Alpha Tech,Technology,348.6,351.34,347.85,349.04,678856.0,46354693038,NSE
2022-01-12,ALPH,Alpha Tech,Technology,347.84,349.04,342.97,346.67,172933.0,48146487193,NSE
2022-01-13,ALPH,Alpha Tech,Technology,346.65,348.29,339.97,342.42,344098.0,13016486322,NSE
2022-01-14,ALPH,Alpha Tech,Technology,342.83,345.49,334.6,335.0,270555.0,28064751624,NSE
2022-01-17,ALPH,Alpha Tech,Technology,336.47,337.39,335.87,337.16,779514.0,43961377111,NSE
2022-01-18,ALPH,Alpha Tech,Technology,334.2,335.12,329.21,331.32,584714.0,23809617911,NSE
2022-01-19,ALPH,Alpha Tech,Technology,332.01,332.66,324.19,324.96,817870.0,18125153549,NSE
2022-01-20,ALPH,Alpha Tech,Technology,323.6,328.11,321.74,326.05,169403.0,47704472036,NSE
2022-01-21,ALPH,Alpha Tech,Technology,324.37,325.03,321.18,323.13,514850.0,37825798834,NSE
2022-01-24,ALPH,Alpha Tech,Technology,322.18,324.39,319.04,321.43,665158.0,33280581497,NSE
2022-01-25,ALPH,Alpha Tech,Technology,323.06,328.63,321.05,328.48,245051.0,37253169832,NSE
2022-01-26,ALPH,Alpha Tech,Technology,329.21,329.93,323.55,326.63,757924.0,33692448340,NSE
2022-01-27,ALPH,Alpha Tech,Technology,326.55,338.05,324.91,332.81,590785.0,24452397993,NSE
2022-01-28,ALPH,Alpha Tech,Technology,332.99,333.17,327.82,331.79,,12390443961,NSE
2022-01-31,ALPH,Alpha Tech,Technology,331.35,335.74,330.32,332.78,772097.0,10756009839,NSE
2022-02-01,ALPH,Alpha Tech,Technology,331.16,332.99,328.5,329.16,,25270874123,NSE
2022-02-02,ALPH,Alpha Tech,Technology,328.1,330.34,326.16,330.15,211579.0,42104005543,NSE
2022-02-03,ALPH,Alpha Tech,Technology,328.75,329.53,324.51,327.43,665579.0,43321562565,NSE
2022-02-04,ALPH,Alpha Tech,Technology,328.03,329.08,327.56,329.07,217301.0,30465284657,NSE
2022-02-07,ALPH,Alpha Tech,Technology,326.24,326.93,322.95,324.56,160738.0,9633226247,NSE
2022-02-08,ALPH,Alpha Tech,Technology,324.24,329.62,323.89,325.85,658582.0,16879168436,NSE
2022-02-09,ALPH,Alpha Tech,Technology,326.37,330.2,326.02,326.07,377932.0,33375104806,NSE
2022-02-10,ALPH,Alpha Tech,Technology,326.19,336.43,325.59,336.04,823378.0,32108615066,NSE
2022-02-11,ALPH,Alpha Tech,Technology,335.97,338.26,329.79,331.3,642717.0,11234085519,NSE
2022-02-14,ALPH,Alpha Tech,Technology,332.88,335.69,326.44,329.24,,20263976707,NSE
